name,grade,style,crag,area,country,shortnote,notes,date,project,stars,cragnote
Love for Traveling,7a+,,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Second Home Tonsai,7a+,o.s.,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Babes in Thailand,7a,o.s.,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Sweating Monkey,7a,o.s.,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Stalagosaurus,6c+,F,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Beauty and the Beast,6c,F,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Caveman,7a+,,Thaiwand Wall,Tonsai,Thailand,,,2013-01-01,,,
Live & Let Thai,7a,o.s.,Thaiwand Wall,Tonsai,Thailand,,,2013-01-01,,,
The King & I,7a,o.s.,Thaiwand Wall,Tonsai,Thailand,,,2013-01-01,,,
Equatorial,6c,o.s.,Thaiwand Wall,Tonsai,Thailand,,,2013-01-01,,,
Primat Scream,6a+,o.s.,Thaiwand Wall,Tonsai,Thailand,,,2013-01-01,,,
Heart of Darkness,6c+,,Cat Wall,Tonsai,Thailand,MP,"Geile Mehrseillängentour 6c+, 6c, 6c, 6c, 6c+",2013-01-01,,3,
Good Medicine,7a+,o.s.,Dum´s Kitchen,Tonsai,Thailand,,,2013-01-01,,,
Lion King,6c+,o.s.,Dum´s Kitchen,Tonsai,Thailand,,,2013-01-01,,,
noname,7a+,o.s.,Phae Dang Wall (Red Wall),Vang Vieng,Laos,,,2013-01-01,,,
noname,7a,o.s.,Phae Dang Wall (Red Wall),Vang Vieng,Laos,,,2013-01-01,,,
Les Charmes du Laos,7c,,Phae Dang Wall (Red Wall),Vang Vieng,Laos,,"der 20km entfernte Spot, anderer Sektor",2013-01-01,,,
Special Forces,7c+,2. Go,Elephant,Thakek,Laos,,2. Go,2013-02-01,,3,
Potato Head,7b+/7c,o.s.,Elephant,Thakek,Laos,,,2013-02-01,,,
Mon General,6c,o.s.,Elephant,Thakek,Laos,,,2013-02-01,,,
Red Ants,6b+,o.s.,Elephant,Thakek,Laos,,,2013-02-01,,,
Klitoritis,6a,o.s.,Elephant,Thakek,Laos,,,2013-02-01,,,
Couple Stress,5b,o.s.,Elephant,Thakek,Laos,,,2013-02-01,,,
Changing Plans Direktissima,7c+,,Worldtrip,Thakek,Laos,,,2013-02-01,,3,
Mr. Keo,7a,,Worldtrip,Thakek,Laos,,,2013-02-01,,,
Mr. Ku,6c+,o.s.,Worldtrip,Thakek,Laos,,,2013-02-01,,,
Big Smile,8a,,Roof,Thakek,Laos,,erste 8a! Eher 7c+/8a,2013-02-01,,3,
Monkey Trail,7c,,Roof,Thakek,Laos,,,2013-02-01,,,
Vice Asshole to President,7c,2. Go,Roof,Thakek,Laos,,2. Go,2013-02-01,,2,
Small World,7c,2. Go,Roof,Thakek,Laos,,2. Go,2013-02-01,,3,
Jungle King,7b,F,Roof,Thakek,Laos,,,2013-02-01,,2,
Schweinerüssel,7b,F,Roof,Thakek,Laos,,,2013-02-01,,,
Schwing Mei Ding,7b,o.s.,Roof,Thakek,Laos,,,2013-02-01,,,
Cheeky Fuckers,7a,F,Roof,Thakek,Laos,,,2013-02-01,,,
Raining Bolts,7a,,Roof,Thakek,Laos,,,2013-02-01,,,
Nid Noi...,7a,,Roof,Thakek,Laos,,,2013-02-01,,,
Hanging Garden,7a,F,Roof,Thakek,Laos,,,2013-02-01,,,
Pi May,7a,F,Roof,Thakek,Laos,,,2013-02-01,,,
Sound of Music,7a,o.s.,Schöffl Block,Thakek,Laos,,,2013-02-01,,,
Piets d´éléfant,6c,F,Honeymoon,Thakek,Laos,,,2013-02-01,,,
Whiplash,7a,o.s.,Weiße Wand,Thakek,Laos,,,2013-02-01,,,
Bullenpogo,7b+,,Hangover Wall,Thakek,Laos,,,2013-02-01,,,
Schwitzerland,7a,o.s.,Hangover Wall,Thakek,Laos,,,2013-02-01,,,
Flight of the Bumblebee,7c+,o.s.,Pond Wall,Butterfly Valley (Cat Ba),Vietnam,,"erste 7c+ on-sight. Boulderproblem in Platte, eher 7b+ oder 7c",2013-03-01,,3,
Freakonomics,7a+,F,Pond Wall,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Windchime of the Ants,7a,o.s.,Pond Wall,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Hippie Banana Tree Killer,7b+,,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Prayer of the Mantis,7b,o.s.,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
If only I could be a srimp,7b,,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Miagi Box Maker,7a,,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
A dengue ate my Davey,6c+,F,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
You enjoy yourself,6b,F,Cool Banana,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Monarch,7c,2. Go,Center of the Universe,Butterfly Valley (Cat Ba),Vietnam,,2. Go,2013-03-01,,,
Elephant Man,6c,F,Oup Syndrom,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Buffalo Love,7a+,,Dragon Cave,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Obama 101,7a+,o.s.,Dragon Cave,Butterfly Valley (Cat Ba),Vietnam,,,2013-03-01,,,
Artwork,8a,,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,X,,
noname,6c,o.s.,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,,,
noname,6c,o.s.,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,,,
noname,6b,o.s.,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,,,
noname,6a+,o.s.,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,,,
noname,6a,o.s.,Mid-Level Crag,Central Crag,Hongkong,,,2013-04-01,,,
La dolca Vida,7a,o.s.,Forgotten Buttress,Central Crag,Hongkong,,,2013-04-01,,,
Todd Skinner Line,7b,F,Banyan Tree Crag,Yangshuo,China,,,2013-04-01,,3,
Open Team,6c,o.s.,Banyan Tree Crag,Yangshuo,China,,,2013-04-01,,,
Single Life,8a,,Lei Pi Shan,Yangshuo,China,,nächstes Mal Yangshuo abholen!!,2013-04-01,X,3,
One Love,7c+,,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
Sleight of Hand,7c,2. Go,Lei Pi Shan,Yangshuo,China,,2. Go,2013-04-01,,,
Honky Tonk,7c,,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
Singularity,7b,o.s.,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
The Power of One,7a+,o.s.,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
The Artfull Doger,7a+,o.s.,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
Ma Jie,6b,F,Lei Pi Shan,Yangshuo,China,,,2013-04-01,,,
White Devil,7c,2. Go,White Mountain,Yangshuo,China,,2. Go,2013-04-01,,3,
Phoenix,7b+,,White Mountain,Yangshuo,China,,,2013-04-01,,1,
Lucky Zone,7b+,,White Mountain,Yangshuo,China,,,2013-04-01,,1,
Yangshuo Hotel,7b,F,White Mountain,Yangshuo,China,,,2013-04-01,,2,
China White,7b,,White Mountain,Yangshuo,China,,,2013-04-01,,2,
Aiding and Abetting,7a+,o.s.,White Mountain,Yangshuo,China,,,2013-04-01,,,
Merry Christmas,6c,o.s.,White Mountain,Yangshuo,China,,,2013-04-01,,,
noname,6b+,o.s.,White Mountain,Yangshuo,China,,,2013-04-01,,,
Cave Man,6b+,F,White Mountain,Yangshuo,China,,,2013-04-01,,,
Moon Walker,7c,2. Go,Moon Hill,Yangshuo,China,,2. Go,2013-04-01,,3,
Proud Sky,7a+,o.s.,Moon Hill,Yangshuo,China,,,2013-04-01,,,
Far Far Away,7b,F,Riverside Cliff,Yangshuo,China,,,2013-04-01,,,
A Fistful of Steel,7a+/7b,,Riverside Cliff,Yangshuo,China,,,2013-04-01,,,
Dragonfly,7a+,,Riverside Cliff,Yangshuo,China,,,2013-04-01,,,
"Small Man, Big Move",7a,o.s.,Riverside Cliff,Yangshuo,China,,,2013-04-01,,,
Nobody is perfect,10+/11-,,Bürser Verschneidung,Bürs,Austria,,"schon die ersten 4 Exen brutal hart (10), Gerät!
Extrem knapp dran im Sommer 2018. Leider dann die Zeit ausgegangen wegen Flug nach Simbabwe...
Beta:
Sprung an Startkellen, rechts auf Kiesel, links Hook, links auf Loch, rechts auf Seitleiste. Füße rüber und direkt mit links hoch auf gute Leiste. Von dort direkt die dritte VERLÄNGERTE Exe clippen. Rechts in Schlitz, links hooken und auf kleine Leiste mit links rechts vom Bolt. Rechten Fuß auf Block und auf Cruxleiste ziehen. Voll aufstellen, linken Fuß unter den Körper, auf Zwischenloch mit links, Trittwechsel und mit links in Trittleiste stehen und WEIT und SCHWER verlängern. Rechts auf Lochsloper, Fuß hoch, rechts auf Steller, voll hinterscheren, mit links auf passable Leiste und rechts raus auf guten Griff. Hook legen und weit über der Exe clippen. Dann auf Spitz stehen wechseln und DIREKT hochblocken unters Dach auf 3 Finger Leiste, schwerer Blocker mit rechts auf gute Leiste, dann links auf Klippgriff. Rechts Fingerloch mit Daumen und links auf gutes Loch ziehen. Rechts in Schlitz, Fuß hochhangeln, links auf Zangenleiste und rechts in Seitzange (nicht so leicht) dann auf Leiste am Block mit links, rechts kurz zwischenfassen, dann auf schlechte Leiste verlängern, mit links abfassen und rechts in gute Leiste hochblocken. ACHTUNG: nicht von hier clippen sondern erst vom nächsten Zug (Runout!). Links hochsteigen und weiter blocker auf ok. Leiste. Highpoint Sommer 2018. Danach wirds leichter, erster kurzer Schüttler in kleiner Mulde nach weitem Runout (Exe am Bauch auslassen!), dann guter Schüttler am Ende des ersten Teils. Bis hier hin m.M.n. 10+.
Erste weitere schwere Stelle ist ein weiter Hakker an eine gute Leiste von Sloperloch aus: links Sloperloch, mit rechts auf Zange abfassen, Fuß weit hochstellen und hochhakken. Dann links voll am Fuß ziehen und auf ok Sloper. Vor der Schlüsselstelle ist nochmal ein passabler Ruhepunkt wenn man mit links das Clipploch nimmt und mit rechts den Sloper direkt daneben. Dann Crux des oberen Teils:
Vom Clipploch mit Links in unkomodes Zweifingerloch ziehen, rechts auf kleine Dreifingerleiste, mit Links auf kleine 4 Finger Leiste. Rechts in Clippgriff steigen, links anstehen und mit rechts weit hochblocken auf 3 Finger loch. Linken Fuß stellen und powerpack mit Links in sehr gutes Loch. Nicht clippen hier sondern auslassen. Weit rechts rüber, mit Links leiste, rechts anhocken und in Henkel schnappen. Is safe. Der Schüttler ist eigentlich ganz okay dann und der Rest zwar anstrengend aber nicht mehr die Crux:
Links auf Sloperzange, rechts auf Leiste direkt daneben, mit Links hochblocken auf Zange, dann rechts auf schechte Leiste und links raushacken auf Affenfäustelkiesel. Dann Füße hoch, mit rechts weit raus auf gute Leiste, mit links komplett durchlaufen, links kurz abfassen auf 2 Finger Kiesel und weiter hochschnappen auf Sloperkiesel. Rechts Fuß stellen, rechts auf Kiesel abfassen (Sloper!) und Hochhacken auf Seitgriff. Linken Fuß an Dachkante hoch und auf guten großen Kiesel hochziehen. Erst von da clippen. Dann mit links verlängern in Atomhenkel und dann ists eigentlich komplett gelaufen.
HAMMER TOUR! Will ich unbedingt klettern, sau ärgerlich, dass es im Sommer 2018 nicht geklappt hat aber ich musste dann los zum DAV Felskader Teamtrip nach Zimbabwe und es waren auch jeden Tag über 30 Grad, was es nciht gerade leichter gemacht hat. 
2 Sessions 2017
~7 Sessions 2018",,X,3,
Skyline,10,,Bürser Verschneidung,Bürs,Austria,,"Monstergeile Ausdauertour. Voll das Biest. Erster Teil ~8a, 2. Teil ~8a+, 3. Teil nochmal Boulder, 40 Klettermeter; erste 8b in der Heimat",2015-08-01,,3,
Move your Body,10,,Bürser Verschneidung,Bürs,Austria,,"Langzeitprojekt. Maximalkraftausdauer! Vllt gehts ja irgendwann! GEIL, gemacht! Hat sich easy angefühlt beim Durchstieg aber ~10 Tage gebraucht",2016-09-01,,3,
Prinz Albert,10-/10,,Bürser Verschneidung,Bürs,Austria,,Ausdauerbrett,2015-09-01,,2,
Have Fun,10-,,Bürser Verschneidung,Bürs,Austria,,wohl die längste Tour in Bürs mit ner echt schweren ersten SL (Hormonsklave). Wieder in Ausdauershape!!!,2016-05-01,,1,
Stahlfinger Verlängerung,9+,2. Go,Bürser Verschneidung,Bürs,Austria,,"2. go, Ist ok. Oben zwei schwere Boulder und direkt am Umlenker auch schwer, am gleichen Tag wie Quadrophenia, eher 9+/10-",2015-09-01,,1,
Hormonsklave,9+,,Bürser Verschneidung,Bürs,Austria,,"Kraftausdauer, boulderlastig",2013,,2,
Adabsurdum,9+,2. Go,Bürser Verschneidung,Bürs,Austria,,2. Versuch. Coole Tour mit sehr schwerem Boulder oben! Undankbar. Franz. 8A,2015-09-01,,1,
Quadrophenia,9+,,Bürser Verschneidung,Bürs,Austria,,teilt sich ein paar Griffe mit Schmatotzer,2015-09-01,,2,
Hautentsorger,9,,Bürser Verschneidung,Bürs,Austria,,"ziemlich hart für 9!!! Sehr kleine Griffe, anfangs kommt die Tour nicht so toll vor, ist aber gar nicht schlecht",2015-09-01,,,
Ladykiller,9,,Bürser Verschneidung,Bürs,Austria,,"große Hakenabstände, schwer",2013,,2,
Schmarotzer,9,,Bürser Verschneidung,Bürs,Austria,,"Endlich. Ewig probiert, dann 2 Jahre nicht probiert, dann im 2. Go abgeholt.",2013,,3,
Lichterspiel,9,2. Go,Bürser Verschneidung,Bürs,Austria,,2. Versuch,2013,,,
Stahlfinger,9-,3. Go,Bürser Verschneidung,Bürs,Austria,,"3. Versuch, eher 9- (heute noch etwas leichter, Griffausbruch)",2012,,,
Let the sun go down on me,9-,,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Metamagikum,8+,F,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Rattenfänger,8+,o.s.,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Felssinfonie,8,o.s.,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Octopus,8,,Bürser Verschneidung,Bürs,Austria,,,2011,,,
Angsthase,8-,o.s.,Große Wand,Bürs,Austria,,keine weiten Hakenabstände. Muss nachsaniert worden sein.,2018-07-01,,,
Teufelsaustreiber,7+,F,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Plastik People (Verlängerung),7+,o.s.,Bürser Verschneidung,Bürs,Austria,,,2011,,,
Kümmerling,7,,Bürser Verschneidung,Bürs,Austria,,Mit Verlängerung ganz schön happig!,2014,,,
Let it Rock,7,F,Bürser Verschneidung,Bürs,Austria,,,2013,,,
Engelsflügel,9-,o.s.,Große Wand,Bürs,Austria,,2. Seillänge sehr brüchig und unlohnend. Leichter als Vergessene Welt links davon aber trotzdem kletterbar,2015-08-01,,0,
Vergessene Welt,9-,,Große Wand,Bürs,Austria,,"Haaaaaammergeile Tour, nahezu nur Sloper, richtig geil lang und fett weite Hakenabstände",2015-08-01,,3,
Spiderman,9-,2. Go,Große Wand,Bürs,Austria,,"2. Versuch, boulderlastig, tolle 50m Zweiseillängen am Stück",2013,,2,
Metallische Melancholie,8,,Große Wand,Bürs,Austria,,,2013,,,
Neues Leben,8,2. Go,Große Wand,Bürs,Austria,,"2. Versuch, sehr schön",2013,,3,
mein kleiner Felix,8-,F,Große Wand,Bürs,Austria,,"Bruch, 1.SL",2016-05-01,,,
Fleißiges Bienchen,8-,,Große Wand,Bürs,Austria,,1. SL,2013,,,
Schneeflittchen,7+,o.s.,Große Wand,Bürs,Austria,,1. SL,2013,,,
Popeye,7+,o.s.,Große Wand,Bürs,Austria,,,2013,,,
Scarlett,7,o.s.,Große Wand,Bürs,Austria,,,2013,,,
Manuett,7,o.s.,Große Wand,Bürs,Austria,,,2013,,,
Ice Age,7,o.s.,Große Wand,Bürs,Austria,,,2013,,,
Traumfänger,7-,o.s.,Große Wand,Bürs,Austria,,1. SL,2013,,,
1000x berührt,7-,o.s.,Große Wand,Bürs,Austria,,1. SL,2013,,,
Spreizolivia,6-,o.s.,Große Wand,Bürs,Austria,,,2013,,,
Akku-Shit dir,9,,Mittagsfluh,Mittagsfluh,Austria,,Projekt,,X,,
Ixtlan Direkteinstieg,8,,Traumland,Känzele,Austria,,Dyno,2011,,,
Herr Träumerisch,7,o.s.,Traumland,Känzele,Austria,,wunderschön,2011,,2,
Thetis,6+/7-,o.s.,Traumland,Känzele,Austria,,"toll, oben brüchig",2011,,1,
Traumland,6/6+,o.s.,Traumland,Känzele,Austria,,,2011,,,
Rotznase,7,o.s.,Via Johanna,Känzele,Austria,,,2012,,,
Mordikus,7,,Via Johanna,Känzele,Austria,,,2010,,,
Frühstart,6+,,Via Johanna,Känzele,Austria,,lange her seit dem ersten Versuch,2013,,,
Via Johanna,6,,Via Johanna,Känzele,Austria,,,2012,,,
Kipit,8+/9-,,Kipit,Känzele,Austria,,"anhaltend an Sloperleisten, genial, toller Fels",2012,,2,
Rainy Day Dream Away,7,,Mauerläufer,Känzele,Austria,,"""Langzeitprojekt"", eine der ersten schweren Routen am Fels, lange her",2010,,,
Flatterwilli,7-,,Mauerläufer,Känzele,Austria,,,2010,,,
Time out,6-,,Mauerläufer,Känzele,Austria,,"sehr, sehr schöne Verschneidung",2010,,2,
Frieda Frech,8-,o.s.,Superfiction,Känzele,Austria,,ich glaube meine erste 8- on-sight,2010,,,
Nonplusultra,10-,,Ultradächer,Selter,Germany,,"dachte es wäre 9/9+ und hat sich ziemlich hart angefühlt, dafür fast im 2. Go gemacht, dann musste ich gehen",,X,,
Die Gewalt der Gewaltlosen,9+/10-,,Lüerdisser Klippen,Iht,Germany,hard,"Klassiker, cool den mal gemacht zu haben! Niemals 9+",2015-08-01,,3,
Dachverschneidung,8/8+,,Lüerdisser Klippen,Iht,Germany,hard,"schwer für 8+, ausgesetzte Plattenkletterei, oben kann ein cooles eine Hand hängen Foto gemacht werden am Kamel :-)",,X,3,
Talseite,8,,Lüerdisser Klippen,Iht,Germany,hard,Sehr schwer für 8 :O,2015-08-01,,,
Anakonda,7,,Lüerdisser Klippen,Iht,Germany,,"Unglaublich gut! Runout oben, erste 7 in Norddeutschland",2015-08-01,,3,
Rotation,10-,,Drachenwand,Iht,Germany,,leichte Linksschleife (ca. 1m) am ersten kleinen Bauch. Dadurch eher leichter als 10-. Direkt zu klettern ist aber mega definiert..Coole Stelle am Dach!. ,2. October 2017,,1,
Nachbarschaft,9,,Drachenwand,Iht,Germany,,Schwerer 3 Zug Boulder,2015-08-01,,,
Schulterweg,9-,,Drachenwand,Iht,Germany,,"Kraftausdauer, sehr toller Riss, erster 9er in Norddeutschland",2015-08-01,,3,
Via Ferrata,8+,o.s.,Drachenwand,Iht,Germany,,Huiiiiiiii,2015-08-01,,2,
Zwinge,8,o.s.,Drachenwand,Iht,Germany,hard,schwer,2015-08-01,,,
Drachentöter,7+,,Drachenwand,Iht,Germany,,toll,2015-08-01,,2,
Intifada,8/8+,,Kirchlispitzen,Rätikon,Switzerland,MP,"in einer SL einmal gestürzt. Super Tour, sehr anhaltend und anstrengend, psychisch anspruchsvoll und schwere Plattenstellen. Scary letzte SL",2015-08-01,,3,
Galadriel,8-,,Kirchlispitzen,Rätikon,Switzerland,MP,"Mehrseillängerntour 8 SL, erste richtige Mehrseillängentour",2011,,3,
Haldejoli,7,o.s.,Kirchlispitzen,Rätikon,Switzerland,MP,geniale Plaisirkletterei!!!,2015-08-01,,3,
Klangspender,8,,Amberg,Amberg,Austria,hard,"sehr, sehr schwer für 8 :O 5 Versuche oder so, bis zum 2. Umlenker",2014,,,
Venusfalle,8-,o.s.,Amberg,Amberg,Austria,,Platte!!,2013,,,
Blau,9+,,Rotachberg,Allgäu,Germany,,ein mal dagewesen. Klasse Route. Mal abholen!,2015-08-01,,2,
Geisterstunde,9+,,Rotachberg,Allgäu,Germany,,,,X,,
Werk 3,9-,,Rotachberg,Allgäu,Germany,,,,X,,
Berlin Wall,8+,o.s.,Rotachberg,Allgäu,Germany,,,2015-08-01,,,
Via Cascado,7+,o.s.,Rotachberg,Allgäu,Germany,,,2015-08-01,,,
Grüße Aus Wien,8+,o.s.,Löchlefels,Donautal,Germany,,"Erste 8+ o.s., glaube ich",2012,,,
Lochstreifen,7,F,Löchlefels,Donautal,Germany,,,2012,,,
Walking on the moon,10-,,Stuhlfels,Donautal,Germany,hard,ziemlich hart!,,X,,
Stuhlgang,9+,o.s.,Stuhlfels,Donautal,Germany,soft,9+ on sight. Aber sehr sehr soft gefunden. Ist aber glaube ich schon solide,2015-09-01,,1,
Freiflug,10-,2. Go,Zinnen,Donautal,Germany,,2. Versuch. Mega imposante Linie!,29. April 2017,,2,
Apokalypse,9,,Zinnen,Donautal,Germany,hard,"Direktvariante zu Genesis und richtig schwere Einzelstelle, leicht an der Kante bleiben.",29. April 2017,,,
Das Wesen des Wassers,9,,Zinnen,Donautal,Germany,hard,"sicherlich nicht leicht für 9, Plattenkletterei vom Feinsten, oben noch dabei bleiben auf wunderschöner Ausstiegsplatte",2016-04-01,,3,
Genesis,8,o.s.,Zinnen,Donautal,Germany,,"klassische Route aus den 8ern, sehr weite Hakenabstände, muss man die Nerven behalten, stolz auf den onsight!",2016-04-01,,,
Staffellauf,7,o.s.,Zinnen,Donautal,Germany,,"weite Hakenabstände, sehr geiler Klassiker",2016-04-01,,3,
Watzmann,7,o.s.,Zinnen,Donautal,Germany,,"echt scary ohne Keile/Friends. Darf man nicht fallen, sonst geht man drauf...",29. April 2017,,2,
Nevrotica,7a+,o.s.,Cala Fuili (Puschtra),Cala Gonone,Sardinien,,,2013,,,
Araj,7a+/7b,o.s.,Cala Luna,Cala Gonone,Sardinien,,,2013,,,
Pesce Abissale,6c,o.s.,Cala Luna,Cala Gonone,Sardinien,,,2013,,,
Anopfel,6c,o.s.,Cala Luna,Cala Gonone,Sardinien,,,2013,,,
Stressechokardiogramm,8-,F,Amphietheater,Frankenjura,Germany,,super schöne Ausdauertour in perfektem Fels,2015-11-01,,3,
After Eight,10-,,Altbabawand,Frankenjura,Germany,,"kratzige Platte, hautig",,X,,
Coburger Weg,8+,,Altbabawand,Frankenjura,Germany,hard,kein Gimme,3. September 2017,,,
Natz Brams Länger,7,,Altbabawand,Frankenjura,Germany,,super Route!,2015-04-01,,2,
Marian,9+,,Angerstein,Frankenjura,Germany,hard,nicht so leicht!,18. March 2017,,,Psychotherapie ist DIE Linie!
Mehr Sein als Scheinen,9-,F,Angerstein,Frankenjura,Germany,,"knapp, gute Tour mit hirnrissigen Hakenpositionen",18. March 2017,,,Psychotherapie ist DIE Linie!
Freundschaftsweg,7+,,Angerstein,Frankenjura,Germany,hard,die schwerste 7+ Frankens!,,X,,Psychotherapie ist DIE Linie!
XXL,10-,3. Go,Castellwand,Frankenjura,Germany,,"3. Go, sehr abwechslungsreich, 2 Boulder (~6b und 7b)",2016-05-01,,1,
Letzte Ausfahrt Bruck,10-,,Castellwand,Frankenjura,Germany,soft,soft,2016-08-01,,1,
Lila Pause,9-,,Castellwand,Frankenjura,Germany,,sehr schön und lange nass,2016-08-01,,3,
Empathie,8+,o.s.,Castellwand,Frankenjura,Germany,,"kurz und knackig, 4 Züge",2016-05-01,,,
Heavy Metal Landler,8,F,Castellwand,Frankenjura,Germany,F,Einzelstelle an Leisten,2016-05-01,,,
Deutsch-Österreicher-Weg,7+,F,Castellwand,Frankenjura,Germany,F,"scary oben, unten schwer",2016-08-01,,,
Kärwazeit,7-,o.s.,Castellwand,Frankenjura,Germany,,,2016-05-01,,,
Spielwiese,9-,F,Geheimbund,Frankenjura,Germany,,hart mit Dyno,2019-02-06,,,
Am Arsch vorbei,9-,F,Geheimbund,Frankenjura,Germany,,coole Bewegungen,2019-02-06,,1,
Sturzprophylaxe,8-,F,Geheimbund,Frankenjura,Germany,,,2019-02-06,,,
Bastard,10-/10,,Grüne Hölle,Frankenjura,Germany,,"4 Zug Boulder. Von den beiden guten Griffen am ersten Bolt (vorgeclippt) rechts stehen und links Dropknee, dann hochschnappen auf 4 Finger Leiste. Links zu Hand stehen, kurz auf Staplerloch abfassen und Gas geben an slopriges 2 Fingerloch. Dann rechts hohes Dropknee und harter Verlängerer in Kelle. Unten stehen bleiben und auf Leiste abfassen, dann Fuß hochhangeln und links raus auf Kelle",,X,2,
Vögeln Verboten,9+,,Grüne Hölle,Frankenjura,Germany,,"muss man halt mal gemacht haben, sehr hart und poliert, offene 2 und 3 Finger Griffe an den vorderen Gliedern. Echt schwer!",2016-09-01,,2,
Pretty Girls,9+,,Grüne Hölle,Frankenjura,Germany,,"kurzer Boulder. Mit Siegessprung aus dem 7er, da es oben komplett draufgeschifft hat.",5. June 2017,,,
Pebblwyn Happus,9,,Grüne Hölle,Frankenjura,Germany,,"7a Einstiegsboulder und oben Kellen, ganz ok",2016-09-01,,,
Sultan of Swing,8+,2. Go,Grüne Hölle,Frankenjura,Germany,,2. Go,2013,,2,
Heinz Schenk,8,,Grüne Hölle,Frankenjura,Germany,,,2013,,,
Isolation,8-,o.s.,Grüne Hölle,Frankenjura,Germany,,,2013,,2,
